"filename", "language", "TypeScript JSX", "TypeScript", "Batch", "JSON with Comments", "PostCSS", "JavaScript", "XML", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"/Users/pavakpatel/Documents - local/iran-protest-react/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 24, 79
"/Users/pavakpatel/Documents - local/iran-protest-react/copy-assets.cjs", "JavaScript", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 3, 10, 48
"/Users/pavakpatel/Documents - local/iran-protest-react/deploy.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/pavakpatel/Documents - local/iran-protest-react/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 2, 2, 42
"/Users/pavakpatel/Documents - local/iran-protest-react/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 7269, 0, 0, 0, 1, 7270
"/Users/pavakpatel/Documents - local/iran-protest-react/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 1, 82
"/Users/pavakpatel/Documents - local/iran-protest-react/postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/pavakpatel/Documents - local/iran-protest-react/public/404.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 5, 43
"/Users/pavakpatel/Documents - local/iran-protest-react/public/images/Visuals_Logo_Temporary_v01.svg", "XML", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 1, 1, 48
"/Users/pavakpatel/Documents - local/iran-protest-react/public/images/download.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/pavakpatel/Documents - local/iran-protest-react/src/App.tsx", "TypeScript JSX", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/Charts/ProtestCharts.tsx", "TypeScript JSX", 567, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 41, 637
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/Layout/Footer.tsx", "TypeScript JSX", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 127
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/Layout/Header.tsx", "TypeScript JSX", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 86
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/Map/MapPopup.tsx", "TypeScript JSX", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 102
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/Map/ProtestMap.tsx", "TypeScript JSX", 376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 39, 443
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/ProtestList/ProtestList.tsx", "TypeScript JSX", 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 25, 284
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/ProtestList/ProtestListModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/TimeFilter/TimeFilter.tsx", "TypeScript JSX", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 62
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/VideoGrid/CompactVideoGrid.tsx", "TypeScript JSX", 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 26, 263
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/VideoGrid/HorizontalVideoGrid.tsx", "TypeScript JSX", 320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 39, 379
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/VideoGrid/VideoDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/VideoGrid/VideoGrid.tsx", "TypeScript JSX", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/VideoGrid/VideoItem.tsx", "TypeScript JSX", 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22, 202
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/ui/accordion.tsx", "TypeScript JSX", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 56
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/ui/alert-dialog.tsx", "TypeScript JSX", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 140
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/ui/alert.tsx", "TypeScript JSX", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 60
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/ui/aspect-ratio.tsx", "TypeScript JSX", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/ui/avatar.tsx", "TypeScript JSX", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 51
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/ui/badge.tsx", "TypeScript JSX", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/ui/breadcrumb.tsx", "TypeScript JSX", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 116
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/ui/button.tsx", "TypeScript JSX", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 58
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/ui/card.tsx", "TypeScript JSX", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 77
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/ui/carousel.tsx", "TypeScript JSX", 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 261
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/ui/checkbox.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/ui/collapsible.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/ui/command.tsx", "TypeScript JSX", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 152
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/ui/context-menu.tsx", "TypeScript JSX", 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 199
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/ui/dialog.tsx", "TypeScript JSX", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 123
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/ui/drawer.tsx", "TypeScript JSX", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 119
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/ui/dropdown-menu.tsx", "TypeScript JSX", 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 200
"/Users/pavakpatel/Documents - local/iran-protest-react/src/components/ui/form.tsx", "TypeScript JSX", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 179
