Date : 2026-01-05 11:08:55
Directory : /Users/pavakpatel/Github/iran-protest-react
Total : 92 files,  16712 codes, 415 comments, 1208 blanks, all 18335 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         66 |      7,732 |        262 |        922 |      8,916 |
| JSON               |          4 |      7,401 |          3 |          7 |      7,411 |
| PostCSS            |          3 |        756 |         81 |        127 |        964 |
| TypeScript         |          8 |        500 |         59 |        100 |        659 |
| JavaScript         |          3 |        100 |          4 |         13 |        117 |
| HTML               |          2 |         76 |          2 |          7 |         85 |
| XML                |          3 |         67 |          1 |          3 |         71 |
| Markdown           |          1 |         55 |          0 |         24 |         79 |
| JSON with Comments |          1 |         25 |          3 |          4 |         32 |
| Batch              |          1 |          0 |          0 |          1 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |         92 |     16,712 |        415 |      1,208 |     18,335 |
| . (Files)                                                                                    |         12 |      7,637 |         13 |         53 |      7,703 |
| public                                                                                       |          4 |        105 |          1 |          8 |        114 |
| public (Files)                                                                               |          1 |         38 |          0 |          5 |         43 |
| public/images                                                                                |          3 |         67 |          1 |          3 |         71 |
| src                                                                                          |         76 |      8,970 |        401 |      1,147 |     10,518 |
| src (Files)                                                                                  |          5 |        202 |         18 |         50 |        270 |
| src/components                                                                               |         59 |      6,190 |        139 |        726 |      7,055 |
| src/components/Charts                                                                        |          1 |        567 |         29 |         41 |        637 |
| src/components/Layout                                                                        |          2 |        173 |         16 |         24 |        213 |
| src/components/Map                                                                           |          2 |        466 |         28 |         51 |        545 |
| src/components/ProtestList                                                                   |          2 |        240 |         19 |         26 |        285 |
| src/components/TimeFilter                                                                    |          1 |         55 |          1 |          6 |         62 |
| src/components/VideoGrid                                                                     |          5 |        775 |         34 |         95 |        904 |
| src/components/ui                                                                            |         46 |      3,914 |         12 |        483 |      4,409 |
| src/context                                                                                  |          1 |        103 |          9 |         17 |        129 |
| src/hooks                                                                                    |          2 |        174 |          0 |         36 |        210 |
| src/lib                                                                                      |          1 |          5 |          0 |          2 |          7 |
| src/pages                                                                                    |          4 |      1,409 |        114 |        174 |      1,697 |
| src/styles                                                                                   |          1 |        591 |         65 |         85 |        741 |
| src/utils                                                                                    |          3 |        296 |         56 |         57 |        409 |
